;Nome;Idade;Nac;Valor Estimado;Salário;Nota media;Gols;Minutos;Cruzamentos tentados;Assistencias;Passes tentados;Pressão tentadas
0;Enner Valencia;35.0;ECU;N�o est� � venda;R$1.400.000 p/m;7.07;22;3.475;17;5;906
1;Vitor Bueno;30.0;BRA;R$38M - R$115M;R$450.000 p/m;7.15;12;3.76;92;10;1.561
2;Lucas Moura;32.0;BRA;N�o est� � venda;R$800.000 p/m;7.2;16;4.839;203;10;1.967
3;Luiz Henrique;23.0;BRA;R$66M - R$200M;R$465.000 p/m;7;11;4.162;134;6;1.632
4;Rafael Santos Borr�;29.0;COL;R$28M - R$84M;R$1.080.000 p/m;6.97;13;1.582;10;0;407
5;Gabriel Barbosa;28.0;BRA;R$84M - R$250M;R$1.820.000 p/m;7.39;23;3.833;76;11;1.55
6;Pedro;27.0;BRA;R$84M - R$250M;R$1.450.000 p/m;7.16;28;3.547;19;5;788
7;Diego Costa;36.0;ESP;N�o est� � venda;R$560.000 p/m;6.75;12;2.968;7;0;802
8;Everton Cebolinha;28.0;BRA;R$70M - R$210M;R$800.000 p/m;7.19;16;4.043;115;11;1.541
9;Lincoln;23.0;BRA;R$52M - R$155M;R$250.000 p/m;6.65;1;70;0;0;15
10;Paulinho;24.0;BRA;R$60M - R$175M;R$1.200.000 p/m;7.2;13;3.813;89;6;1.403
11;Adailton;33.0;JPN;N�o est� � venda;R$142.500 p/m;6.88;5;3.885;122;9;1.356
12;Gustavo Sauer;31.0;BRA;R$1,1M;R$210.000 p/m;6.99;1;757;37;2;262
13;Marcinho;29.0;BRA;R$13M - R$39M;R$320.000 p/m;7.22;2;326;6;1;122
14;Hulk;38.0;BRA;N�o est� � venda;R$1.700.000 p/m;6.93;22;4.085;14;1;985
15;Erison;25.0;BRA;R$23M - R$70M;R$205.000 p/m;6.93;9;1.225;15;3;344
16;Jonathan Calleri;31.0;ARG;N�o est� � venda;R$520.000 p/m;6.82;17;4.054;19;2;1.02
17;Jhon Arias;27.0;COL;R$34M - R$105M;R$540.000 p/m;7.19;9;3.579;87;7;1.686
18;Lucas Alario;32.0;ARG;R$1,9M - R$5,5M;R$160.000 p/m;7;13;2.256;16;4;601
19;Agust�n Canobbio;26.0;URU;R$28M - R$84M;R$405.000 p/m;6.95;10;3.935;96;5;1.514
20;Mat�as Zaracho;26.0;ARG;R$36M - R$110M;R$500.000 p/m;7.26;11;2.937;112;5;1.382
21;Andr�;34.0;BRA;R$0;R$29.000 p/m;6.5;0;38;0;0;10
22;Everton Ribeiro;35.0;BRA;R$200m;R$1.990.000 p/m;6.67;4;1.317;47;0;634
23;Bruno Henrique;33.0;BRA;R$7M - R$20M;R$995.000 p/m;7.39;18;3.025;69;10;1.025
24;Gabriel Veron;22.0;BRA;R$8M - R$24M;R$495.000 p/m;6.83;6;2.216;57;5;794
25;Bernard;32.0;BRA;R$4,75M - R$14M;R$285.000 p/m;6.78;1;845;20;0;292
26;Yeferson Soteldo;27.0;VEN;R$37M - R$110M;R$480.000 p/m;6.96;4;3.152;87;2;1.204
27;Tiquinho Soares;33.0;BRA;N�o est� � venda;R$520.000 p/m;6.98;19;4.044;23;5;1.013
28;Jefferson Savarino;28.0;VEN;R$36M - R$110M;R$320.000 p/m;7.13;7;1.818;84;6;713
29;Diego Rolan;31.0;URU;R$3,25M - R$10M;R$147.500 p/m;6.66;0;1.204;41;2;379
30;Wesley Moraes;28.0;BRA;R$1,8M - R$5,5M;R$490.000 p/m;6.77;3;363;1;0;93
31;Wanderson;30.0;BRA;R$50M - R$155M;R$890.000 p/m;7.09;10;4.584;152;7;2.073
32;Ignacio Laquintana;25.0;URU;R$3,75M - R$11M;R$120.000 p/m;6.87;0;156;5;0;61
33;Cristian Pav�n;28.0;ARG;R$30M - R$90M;R$1.020.000 p/m;7.07;10;4.034;146;6;1.614
34;Alem�o;26.0;POL;R$7M - R$21M;R$177.500 p/m;7.1;6;727;3;1;174
35;L�zaro;22.0;BRA;R$16M - R$47M;R$82.500 p/m;7.01;3;1.545;31;6;546
36;Bruno Tabata;27.0;BRA;R$23M;R$220.000 p/m;6.68;0;318;14;0;113
37;Jean Mota;31.0;BRA;N�o est� � venda;R$187.500 p/m;6.95;7;3.559;88;5;1.558
38;Rony;29.0;BRA;R$58M - R$175M;R$945.000 p/m;7.01;13;3.952;100;7;1.288
39;Mat�as Rojas;29.0;PAR;R$17M - R$52M;R$900.000 p/m;6.97;2;2.042;66;6;915
40;Junior Messias;33.0;BRA;R$3,75M;R$775.000 p/m;7.25;0;722;17;4;346
41;Jes�;31.0;ESP;R$160m - R$500m;R$192.500 p/m;6.78;1;109;1;0;30
42;�scar Estupi��n;27.0;COL;R$10M - R$31M;R$540.000 p/m;6.79;12;3.846;15;7;872
43;Alan Kardec;35.0;BRA;R$20m - R$60m;R$350.000 p/m;6.77;2;721;3;1;158
44;Dudu;32.0;BRA;R$12M - R$37M;R$2.190.000 p/m;7.03;4;1.649;54;1;681
45;Luiz Ara�jo;28.0;BRA;R$26M - R$76M;R$345.000 p/m;7.04;7;1.304;50;1;588
46;Victor S�;30.0;BRA;R$20M - R$62M;R$245.000 p/m;7.08;10;3.901;100;11;1.567
47;Yony Gonz�lez;30.0;COL;R$13M - R$40M;R$265.000 p/m;6.88;4;1.803;59;4;774
48;Pedro Henrique;34.0;BRA;R$120m - R$350m;R$350.000 p/m;6.88;4;1.647;65;3;646
49;Arthur Gomes;26.0;BRA;R$17M - R$52M;R$165.000 p/m;6.82;5;1.474;42;3;518
50;Germ�n Cano;36.0;ARG;N�o est� � venda;R$535.000 p/m;6.89;18;3.863;25;4;1.014
51;David Terans;30.0;URU;R$40M - R$120M;R$400.000 p/m;6.93;14;3.742;68;4;1.301
52;Gonzalo Mastriani;31.0;URU;R$10M - R$30M;R$240.000 p/m;7.02;23;2.263;11;2;586
53;�ngel Romero;32.0;PAR;R$2,3M - R$7M;R$210.000 p/m;6.76;1;599;8;1;219
54;Isidro Pitta;25.0;PAR;R$18M - R$52M;R$175.000 p/m;6.9;10;1.044;7;1;246
55;Deyverson;33.0;BRA;R$750m - R$2,3M;R$300.000 p/m;6.97;24;4.19;23;5;1.057
56;Thiago Borbas;22.0;URU;R$14M - R$43M;R$215.000 p/m;6.74;16;3.086;21;5;719
57;Keno;35.0;BRA;N�o est� � venda;R$555.000 p/m;6.98;4;3.946;133;7;1.541
58;Yuri Alberto;23.0;BRA;R$50M - R$150M;R$1.200.000 p/m;6.89;11;4.314;28;6;1.226
59;Marquinhos;25.0;BRA;R$12M - R$37M;R$210.000 p/m;6.89;3;540;4;0;140
60;Matheusinho;26.0;BRA;R$6,5M - R$20M;R$97.500 p/m;6.78;5;1.971;89;1;646
61;Carlos de Pena;32.0;URU;R$450m - R$1,3M;R$225.000 p/m;7.17;4;2.243;124;5;823
62;Jos� Manuel L�pez;23.0;ARG;R$32M - R$98M;R$235.000 p/m;6.98;17;3.693;29;5;1.02
63;�lvaro Barreal;24.0;ARG;R$2,3M - R$7M;R$215.000 p/m;6.89;4;3.26;163;3;1.168
64;L�o Natel;27.0;BRA;R$40m;R$80.000 p/m;7.08;1;198;5;0;65
65;Luciano;31.0;BRA;R$20M - R$60M;R$405.000 p/m;7.06;21;3.024;54;5;920
67;Rildo;24.0;BRA;R$2M - R$6M;R$90.000 p/m;6.77;0;1.053;17;1;374
68;Felippe Cardoso;26.0;BRA;R$2M - R$6M;R$50.000 p/m;6.7;3;853;6;1;204
69;Imanol Machuca;24.0;ARG;R$23M;R$19.000 p/m;7.01;7;2.781;96;8;1.021
70;Jaj�;23.0;BRA;R$2,1M - R$6,5M;R$62.500 p/m;6.8;1;111;4;0;36
71;Juan Dinenno;30.0;ARG;R$25M - R$74M;R$340.000 p/m;6.95;25;3.72;20;3;856
72;Juan Mart�n Lucero;32.0;ARG;N�o est� � venda;R$220.000 p/m;6.96;21;3.882;30;3;1.176
73;Yago Pikachu;32.0;BRA;N�o est� � venda;R$240.000 p/m;6.96;5;3.71;279;7;1.41
74;Luquinhas;28.0;BRA;R$1M - R$3M;R$170.000 p/m;6.6;1;438;2;1;140
75;Diogo;27.0;BRA;R$4,75M - R$14M;R$39.000 p/m;6.58;1;149;1;0;40
76;Paulinho;27.0;BRA;R$15M - R$44M;R$285.000 p/m;6.77;4;2.69;21;2;1.028
77;J�nior Santos;30.0;BRA;R$39M - R$115M;R$370.000 p/m;7.05;16;2.697;51;7;806
78;Marinho;34.0;BRA;R$1M - R$3M;R$500.000 p/m;6.82;5;1.182;24;1;337
79;Felipe Vizeu;27.0;BRA;R$2,5M - R$7,5M;R$100.000 p/m;6.74;9;1.473;5;2;357
80;Pedro Raul;28.0;BRA;R$21M - R$64M;R$265.000 p/m;7;21;3.346;21;1;1.264
81;Geuv�nio;32.0;BRA;N�o est� � venda;R$57.500 p/m;6.86;4;2.397;78;5;825
82;Rodrigo Nestor;24.0;BRA;R$46M - R$140M;R$100.000 p/m;6.98;4;2.767;74;3;1.147
83;Clayson;29.0;BRA;R$35M - R$105M;R$200.000 p/m;6.98;12;3.135;84;8;1.079
84;David;29.0;BRA;R$6,5M - R$19M;R$300.000 p/m;6.91;14;3.092;23;2;843
85;Pablo;32.0;BRA;R$4,75M - R$14M;R$435.000 p/m;6.96;14;3.666;33;11;1.003
86;Camilo Sanvezzo;36.0;BRA;R$300m - R$850m;R$137.500 p/m;6.78;9;1.783;18;1;425
87;Breno Lopes;28.0;BRA;R$800m - R$2,4M;R$280.000 p/m;6.91;5;2.851;75;6;1.053
88;Eduardo Sasha;32.0;BRA;R$700m - R$2,1M;R$350.000 p/m;6.88;15;2.897;10;2;678
89;Helinho;24.0;BRA;R$49M - R$145M;R$220.000 p/m;7.06;10;4.073;159;6;1.741
90;Wesley;25.0;BRA;R$29M - R$86M;R$215.000 p/m;6.85;5;2.694;91;2;972
91;John Kennedy;22.0;BRA;R$24M - R$70M;R$225.000 p/m;6.83;9;1.865;10;2;486
92;Caio Paulista;26.0;BRA;R$18M - R$54M;R$290.000 p/m;6.96;9;2.431;103;6;1.03
93;Patrick;32.0;BRA;R$5M;R$600.000 p/m;6.88;5;1.414;30;2;653
94;Biel;23.0;BRA;R$35M - R$105M;R$225.000 p/m;6.92;12;4.246;147;6;1.645
95;Maur�cio;23.0;BRA;R$42M - R$125M;R$150.000 p/m;7.05;4;2.61;26;4;1.855
96;Rikelme;21.0;BRA;R$20M - R$62M;R$100.000 p/m;7.06;7;3.282;91;4;1.207
97;Michel Ara�jo;28.0;URU;R$11M - R$33M;R$295.000 p/m;6.83;3;863;15;1;284
98;Bruno Rodrigues;27.0;BRA;R$6M - R$19M;R$250.000 p/m;6.74;1;227;5;0;109
99;Nen�;43.0;BRA;R$180m - R$500m;R$130.000 p/m;6.88;10;3.335;76;4;1.203
100;Jeffinho;24.0;BRA;R$7,5M - R$23M;R$225.000 p/m;6.82;2;1.676;72;1;685
101;Gilberto;35.0;BRA;N�o est� � venda;R$177.500 p/m;6.73;11;3.31;20;2;780
102;Nik�o;32.0;BRA;R$50m;R$600.000 p/m;6.67;0;228;5;0;94
103;Alerrandro;24.0;BRA;R$6M - R$18M;R$167.500 p/m;6.7;12;3.407;10;1;789
104;Pedro Rocha;30.0;BRA;R$3M - R$8,5M;R$200.000 p/m;7.08;1;368;5;0;129
105;Ademir;29.0;BRA;R$36M;R$300.000 p/m;7.12;15;4.74;188;6;1.878
106;Fernando Sobral;29.0;BRA;R$14M - R$42M;R$187.500 p/m;7.09;14;4.179;125;8;1.776
107;Luciano Juba;25.0;BRA;R$13M - R$39M;R$120.000 p/m;6.97;5;3.027;128;7;1.388
108;Ferreira;26.0;BRA;R$11M - R$34M;R$220.000 p/m;7.01;4;1.311;41;5;507
109;Luiz Fernando;28.0;BRA;R$1,2M - R$3,5M;R$107.500 p/m;7.03;10;3.682;164;4;1.331
110;Sorriso;23.0;BRA;R$18M - R$54M;R$155.000 p/m;6.83;4;1.584;50;2;585
111;Gustavo Silva;27.0;BRA;R$8,5M - R$26M;R$250.000 p/m;6.85;1;781;17;2;273
