;Nome;Idade;Nac;Valor Estimado;Salário;Nota media;Gols;Minutos;Cruzamentos tentados;Assistencias;Passes tentados;Pressão tentadas
0;Charles Ar�nguiz;35.0;CHI;R$1,6M - R$4,75M;R$695.000 p/m;6.98;0;3.202;25;8;2.015
1;Erick Pulgar;30.0;CHI;R$32M - R$96M;R$670.000 p/m;7.03;4;3.388;153;10;2.029
2;Gary Medel;37.0;CHI;N�o est� � venda;R$280.000 p/m;6.86;0;2.31;134;5;1.558
3;Miguel Trauco;32.0;PER;R$6M - R$19M;R$162.500 p/m;6.95;1;3.464;67;5;1.779
4;Luiz Gustavo;37.0;BRA;R$25m;R$140.000 p/m;6.77;3;2.422;35;1;1.506
5;Fernandinho;39.0;BRA;N�o est� � venda;R$355.000 p/m;6.95;1;3.271;117;10;2.107
6;Dami�n Su�rez;36.0;URU;R$1,6M - R$4,75M;R$295.000 p/m;6.82;4;4.129;85;5;2.011
7;Mat�as Vi�a;27.0;URU;R$27M - R$80M;R$280.000 p/m;7.07;3;4.46;78;4;2.41
8;Gilberto;31.0;BRA;R$13M - R$40M;R$190.000 p/m;6.96;2;2.418;31;3;1.335
9;Diego Palacios;25.0;ECU;R$16M - R$49M;R$210.000 p/m;6.99;1;3.497;183;6;2.236
11;Hugo Mallo;33.0;ESP;R$7M - R$21M;R$480.000 p/m;6.99;3;3.353;103;5;2.161
13;Rafael;34.0;BRA;R$900m - R$2,75M;R$205.000 p/m;6.75;1;2.076;158;4;948
14;F�gner;35.0;BRA;R$50m - R$140m;R$500.000 p/m;6.8;2;3.713;138;4;2.291
15;Lucas Silva;31.0;BRA;R$8,5M - R$26M;R$350.000 p/m;6.91;5;2.813;121;5;1.712
16;Diego Laxalt;31.0;URU;R$4M - R$12M;R$410.000 p/m;6.81;0;1.589;189;0;831
17;Gabriel Pires;31.0;BRA;R$12M - R$36M;R$280.000 p/m;6.65;0;802;83;0;530
18;Jean Lucas;26.0;BRA;R$45M - R$135M;R$280.000 p/m;6.94;4;4.263;42;5;2.709
19;Jimmy Mart�nez;27.0;CHI;R$1,7M;R$26.000 p/m;6.75;3;1.432;104;0;723
20;Iago;27.0;BRA;R$18M - R$54M;R$475.000 p/m;6.8;0;1.506;112;0;794
21;Mar�al;35.0;BRA;R$40m - R$120m;R$270.000 p/m;6.96;2;3.994;40;8;1.839
22;Alex Santana;29.0;BRA;R$2,75M;R$250.000 p/m;6.63;0;413;187;1;228
23;Guilherme Arana;27.0;BRA;R$45M - R$135M;R$600.000 p/m;7.01;0;4.01;156;11;2.343
24;Andr�;23.0;BRA;R$43M - R$130M;R$635.000 p/m;7.05;3;3.554;95;7;2.25
25;Pablo Galdames;27.0;CHI;R$80m - R$240m;R$97.500 p/m;6.65;0;117;51;0;66
26;Victor Bobsin;24.0;BRA;R$30M - R$90M;R$130.000 p/m;6.89;1;1.459;18;0;850
